info,tribunal,pdfs_encontrados,arquivos_md,arquivos_html,julgados_estimados_pdf,questoes_md,questoes_html,faltam_questoes_md,faltam_no_html,status,pdfs,mds,htmls
Info 1173 STF,STF,1,1,3,5,3,6,2,,QUESTOES_INCOMPLETAS,Info 1173 STF.pdf,Info 1173 STF_questoes.md,Info 1173 STF.html | Info 1173 STF.html | Info 1173 STF.html
Info 1174 STF,STF,1,1,3,5,5,10,,,OK,Info 1174 STF.pdf,Info 1174 STF_questoes.md,Info 1174 STF.html | Info 1174 STF.html | Info 1174 STF.html
Info 1175 STF,STF,1,1,3,1,1,2,,,OK,Info 1175 STF.pdf,Info 1175 STF_questoes.md,Info 1175 STF.html | Info 1175 STF.html | Info 1175 STF.html
Info 1176 STF,STF,1,1,3,3,3,6,,,OK,Info 1176 STF.pdf,Info 1176 STF_questoes.md,Info 1176 STF.html | Info 1176 STF.html | Info 1176 STF.html
Info 1177 STF,STF,1,1,2,1,1,2,,,OK,Info 1177 STF.pdf,Info 1177 STF_questoes.md,Info 1177 STF.html | Info 1177 STF.html
Info 1178 STF,STF,1,1,3,5,5,10,,,OK,Info 1178 STF.pdf,Info 1178 STF_questoes.md,Info 1178 STF.html | Info 1178 STF.html | Info 1178 STF.html
Info 1179 STF,STF,1,1,3,10,9,18,1,,QUESTOES_INCOMPLETAS,Info 1179 STF.pdf,Info 1179 STF_questoes.md,Info 1179 STF.html | Info 1179 STF.html | Info 1179 STF.html
Info 1180 STF,STF,1,1,3,6,7,14,,,OK,Info 1180 STF.pdf,Info 1180 STF_questoes.md,Info 1180 STF.html | Info 1180 STF.html | Info 1180 STF.html
Info 1181 STF,STF,1,1,3,3,2,4,1,,QUESTOES_INCOMPLETAS,Info 1181 STF.pdf,Info 1181 STF_questoes.md,Info 1181 STF.html | Info 1181 STF.html | Info 1181 STF.html
Info 1182 STF,STF,1,1,3,4,4,8,,,OK,Info 1182 STF.pdf,Info 1182 STF_questoes.md,Info 1182 STF.html | Info 1182 STF.html | Info 1182 STF.html
Info 1183 STF,STF,1,1,3,2,2,4,,,OK,Info 1183 STF.pdf,Info 1183 STF_questoes.md,Info 1183 STF.html | Info 1183 STF.html | Info 1183 STF.html
Info 1184 STF,STF,1,0,0,6,0,0,6,,FALTA_GERAR_QUESTOES,Info 1184 STF.pdf,,
Info 1185 STF,STF,1,1,3,7,10,20,,,OK,Info 1185 STF.pdf,Info 1185 STF_questoes.md,Info 1185 STF.html | Info 1185 STF.html | Info 1185 STF.html
Info 1186 STF,STF,1,1,3,7,9,18,,,OK,Info 1186 STF.pdf,Info 1186 STF_questoes.md,Info 1186 STF.html | Info 1186 STF.html | Info 1186 STF.html
Info 1187 STF,STF,1,1,3,4,4,8,,,OK,Info 1187 STF.pdf,Info 1187 STF_questoes.md,Info 1187 STF.html | Info 1187 STF.html | Info 1187 STF.html
Info 1188 STF,STF,1,1,3,9,9,18,,,OK,Info 1188 STF.pdf,Info 1188 STF_questoes.md,Info 1188 STF.html | Info 1188 STF.html | Info 1188 STF.html
Info 1189 STF,STF,1,1,3,2,2,4,,,OK,Info 1189 STF.pdf,Info 1189 STF_questoes.md,Info 1189 STF.html | Info 1189 STF.html | Info 1189 STF.html
Info 1190 STF,STF,1,1,3,5,5,10,,,OK,Info 1190 STF.pdf,Info 1190 STF_questoes.md,Info 1190 STF.html | Info 1190 STF.html | Info 1190 STF.html
Info 1191 STF,STF,1,1,3,4,4,8,,,OK,Info 1191 STF.pdf,Info 1191 STF_questoes.md,Info 1191 STF.html | Info 1191 STF.html | Info 1191 STF.html
Info 1192 STF,STF,1,1,3,10,9,18,1,,QUESTOES_INCOMPLETAS,Info 1192 STF.pdf,Info 1192 STF_questoes.md,Info 1192 STF.html | Info 1192 STF.html | Info 1192 STF.html
Info 1193 STF,STF,1,1,3,4,2,4,2,,QUESTOES_INCOMPLETAS,Info 1193 STF.pdf,Info 1193 STF_questoes.md,Info 1193 STF.html | Info 1193 STF.html | Info 1193 STF.html
Info 1194 STF,STF,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 1194 STF.pdf,Info 1194 STF_questoes.md,Info 1194 STF.html | Info 1194 STF.html | Info 1194 STF.html
Info 1195 STF,STF,1,1,3,7,8,16,,,OK,Info 1195 STF.pdf,Info 1195 STF_questoes.md,Info 1195 STF.html | Info 1195 STF.html | Info 1195 STF.html
Info 1196 STF,STF,1,1,3,4,4,8,,,OK,Info 1196 STF.pdf,Info 1196 STF_questoes.md,Info 1196 STF.html | Info 1196 STF.html | Info 1196 STF.html
Info 1197 STF,STF,1,1,3,5,5,10,,,OK,Info 1197 STF.pdf,Info 1197 STF_questoes.md,Info 1197 STF.html | Info 1197 STF.html | Info 1197 STF.html
Info 1198 STF,STF,1,1,3,3,3,6,,,OK,Info 1198 STF.pdf,Info 1198 STF_questoes.md,Info 1198 STF.html | Info 1198 STF.html | Info 1198 STF.html
Info 1199 STF,STF,1,1,3,4,4,8,,,OK,Info 1199 STF.pdf,Info 1199 STF_questoes.md,Info 1199 STF.html | Info 1199 STF.html | Info 1199 STF.html
Info 1200 STF,STF,1,1,3,7,6,12,1,,QUESTOES_INCOMPLETAS,Info 1200 STF.pdf,Info 1200 STF_questoes.md,Info 1200 STF.html | Info 1200 STF.html | Info 1200 STF.html
Info 1201 STF,STF,1,1,3,3,4,8,,,OK,Info 1201 STF.pdf,Info 1201 STF_questoes.md,Info 1201 STF.html | Info 1201 STF.html | Info 1201 STF.html
Info 1202 STF,STF,1,1,3,4,4,8,,,OK,Info 1202 STF.pdf,Info 1202 STF_questoes.md,Info 1202 STF.html | Info 1202 STF.html | Info 1202 STF.html
Info 1203 STF,STF,1,1,3,10,10,20,,,OK,Info 1203 STF.pdf,Info 1203 STF_questoes.md,Info 1203 STF.html | Info 1203 STF.html | Info 1203 STF.html
Info 1204 STF,STF,1,1,3,3,4,8,,,OK,Info 1204 STF.pdf,Info 1204 STF_questoes.md,Info 1204 STF.html | Info 1204 STF.html | Info 1204 STF.html
Info 1205 STF,STF,1,1,3,5,5,10,,,OK,Info 1205 STF.pdf,Info 1205 STF_questoes.md,Info 1205 STF.html | Info 1205 STF.html | Info 1205 STF.html
Info 1206 STF,STF,1,1,3,3,3,6,,,OK,Info 1206 STF.pdf,Info 1206 STF_questoes.md,Info 1206 STF.html | Info 1206 STF.html | Info 1206 STF.html
Info 1207 STF,STF,1,1,3,4,7,14,,,OK,Info 1207 STF.pdf,Info 1207 STF_questoes.md,Info 1207 STF.html | Info 1207 STF.html | Info 1207 STF.html
Info 1208 STF,STF,1,1,3,5,2,4,3,,QUESTOES_INCOMPLETAS,Info 1208 STF.pdf,Info 1208 STF_questoes.md,Info 1208 STF.html | Info 1208 STF.html | Info 1208 STF.html
Info 1209 STF,STF,1,1,2,5,5,10,,,OK,Info 1209 STF.pdf,Info 1209 STF_questoes.md,Info 1209 STF.html | Info 1209 STF.html
Info 1210 STF,STF,1,1,2,6,6,12,,,OK,Info 1210 STF.pdf,Info 1210 STF_questoes.md,Info 1210 STF.html | Info 1210 STF.html
Info 1211 STF,STF,1,1,3,3,3,6,,,OK,Info 1211 STF.pdf,Info 1211 STF_questoes.md,Info 1211 STF.html | Info 1211 STF.html | Info 1211 STF.html
Info 1212 STF,STF,1,1,2,3,3,6,,,OK,Info 1212 STF.pdf,Info 1212 STF_questoes.md,Info 1212 STF.html | Info 1212 STF.html
Info 22 STJ,STJ,1,1,2,21,22,44,,,OK,Info 22 STJ.pdf,Info 22 STJ_questoes.md,Info 22 STJ.html | Info 22 STJ.html
Info 23 STJ,STJ,1,1,2,31,32,64,,,OK,Info 23 STJ.pdf,Info 23 STJ_questoes.md,Info 23 STJ.html | Info 23 STJ.html
Info 24 STJ,STJ,1,0,0,20,0,0,20,,FALTA_GERAR_QUESTOES,Info 24 STJ.pdf,,
Info 25 STJ,STJ,1,1,3,21,21,42,,,OK,Info 25 STJ.pdf,Info 25 STJ_questoes.md,Info 25 STJ.html | Info 25 STJ.html | Info 25 STJ.html
Info 26 STJ,STJ,1,1,3,31,30,60,1,,QUESTOES_INCOMPLETAS,Info 26 STJ.pdf,Info 26 STJ_questoes.md,Info 26 STJ.html | Info 26 STJ.html | Info 26 STJ.html
Info 27 STJ,STJ,1,1,3,20,22,44,,,OK,Info 27 STJ.pdf,Info 27 STJ_questoes.md,Info 27 STJ.html | Info 27 STJ.html | Info 27 STJ.html
Info 28 STJ,STJ,1,0,0,20,0,0,20,,FALTA_GERAR_QUESTOES,Info 28 STJ.pdf,,
Info 29 STJ,STJ,1,0,0,30,0,0,30,,FALTA_GERAR_QUESTOES,Info 29 STJ.pdf,,
Info 30 STJ,STJ,1,0,0,23,0,0,23,,FALTA_GERAR_QUESTOES,Info 30 STJ.pdf,,
Info 835 STJ,STJ,1,1,2,16,16,32,,,OK,Info 835 STJ.pdf,Info 835 STJ_questoes.md,Info 835 STJ.html | Info 835 STJ.html
Info 836 STJ,STJ,1,1,3,16,16,32,,,OK,Info 836 STJ.pdf,Info 836 STJ_questoes.md,Info 836 STJ.html | Info 836 STJ.html | Info 836 STJ.html
Info 837 STJ,STJ,1,0,0,14,0,0,14,,FALTA_GERAR_QUESTOES,Info 837 STJ.pdf,,
Info 838 STJ,STJ,1,1,3,14,14,28,,,OK,Info 838 STJ.pdf,Info 838 STJ_questoes.md,Info 838 STJ.html | Info 838 STJ.html | Info 838 STJ.html
Info 839 STJ,STJ,1,1,3,12,11,22,1,,QUESTOES_INCOMPLETAS,Info 839 STJ.pdf,Info 839 STJ_questoes.md,Info 839 STJ.html | Info 839 STJ.html | Info 839 STJ.html
Info 840 STJ,STJ,1,1,3,13,12,24,1,,QUESTOES_INCOMPLETAS,Info 840 STJ.pdf,Info 840 STJ_questoes.md,Info 840 STJ.html | Info 840 STJ.html | Info 840 STJ.html
Info 841 STJ,STJ,1,1,3,14,13,26,1,,QUESTOES_INCOMPLETAS,Info 841 STJ.pdf,Info 841 STJ_questoes.md,Info 841 STJ.html | Info 841 STJ.html | Info 841 STJ.html
Info 842 STJ,STJ,1,1,3,34,33,66,1,,QUESTOES_INCOMPLETAS,Info 842 STJ.pdf,Info 842 STJ_questoes.md,Info 842 STJ.html | Info 842 STJ.html | Info 842 STJ.html
Info 843 STJ,STJ,1,1,3,20,20,40,,,OK,Info 843 STJ.pdf,Info 843 STJ_questoes.md,Info 843 STJ.html | Info 843 STJ.html | Info 843 STJ.html
Info 844 STJ,STJ,1,1,3,20,20,40,,,OK,Info 844 STJ.pdf,Info 844 STJ_questoes.md,Info 844 STJ.html | Info 844 STJ.html | Info 844 STJ.html
Info 845 STJ,STJ,1,1,3,14,14,28,,,OK,Info 845 STJ.pdf,Info 845 STJ_questoes.md,Info 845 STJ.html | Info 845 STJ.html | Info 845 STJ.html
Info 846 STJ,STJ,1,1,3,12,12,24,,,OK,Info 846 STJ.pdf,Info 846 STJ_questoes.md,Info 846 STJ.html | Info 846 STJ.html | Info 846 STJ.html
Info 847 STJ,STJ,1,1,2,17,18,36,,,OK,Info 847 STJ.pdf,Info 847 STJ_questoes.md,Info 847 STJ.html | Info 847 STJ.html
Info 848 STJ,STJ,1,1,3,11,11,22,,,OK,Info 848 STJ.pdf,Info 848 STJ_questoes.md,Info 848 STJ.html | Info 848 STJ.html | Info 848 STJ.html
Info 849 STJ,STJ,1,1,3,12,12,24,,,OK,Info 849 STJ.pdf,Info 849 STJ_questoes.md,Info 849 STJ.html | Info 849 STJ.html | Info 849 STJ.html
Info 850 STJ,STJ,1,1,3,15,15,30,,,OK,Info 850 STJ.pdf,Info 850 STJ_questoes.md,Info 850 STJ.html | Info 850 STJ.html | Info 850 STJ.html
Info 851 STJ,STJ,1,1,3,11,11,22,,,OK,Info 851 STJ.pdf,Info 851 STJ_questoes.md,Info 851 STJ.html | Info 851 STJ.html | Info 851 STJ.html
Info 852 STJ,STJ,1,1,3,19,19,38,,,OK,Info 852 STJ.pdf,Info 852 STJ_questoes.md,Info 852 STJ.html | Info 852 STJ.html | Info 852 STJ.html
Info 853 STJ,STJ,1,1,3,14,12,24,2,,QUESTOES_INCOMPLETAS,Info 853 STJ.pdf,Info 853 STJ_questoes.md,Info 853 STJ.html | Info 853 STJ.html | Info 853 STJ.html
Info 854 STJ,STJ,1,1,3,10,10,20,,,OK,Info 854 STJ.pdf,Info 854 STJ_questoes.md,Info 854 STJ.html | Info 854 STJ.html | Info 854 STJ.html
Info 855 STJ,STJ,1,1,3,11,11,22,,,OK,Info 855 STJ.pdf,Info 855 STJ_questoes.md,Info 855 STJ.html | Info 855 STJ.html | Info 855 STJ.html
Info 856 STJ,STJ,1,1,3,18,17,34,1,,QUESTOES_INCOMPLETAS,Info 856 STJ.pdf,Info 856 STJ_questoes.md,Info 856 STJ.html | Info 856 STJ.html | Info 856 STJ.html
Info 857 STJ,STJ,1,1,3,13,15,30,,,OK,Info 857 STJ.pdf,Info 857 STJ_questoes.md,Info 857 STJ.html | Info 857 STJ.html | Info 857 STJ.html
Info 858 STJ,STJ,1,0,0,15,0,0,15,,FALTA_GERAR_QUESTOES,Info 858 STJ.pdf,,
Info 859 STJ,STJ,1,1,3,15,14,28,1,,QUESTOES_INCOMPLETAS,Info 859 STJ.pdf,Info 859 STJ_questoes.md,Info 859 STJ.html | Info 859 STJ.html | Info 859 STJ.html
Info 861 STJ,STJ,1,1,3,14,14,28,,,OK,Info 861 STJ.pdf,Info 861 STJ_questoes.md,Info 861 STJ.html | Info 861 STJ.html | Info 861 STJ.html
Info 862 STJ,STJ,1,1,3,12,12,24,,,OK,Info 862 STJ.pdf,Info 862 STJ_questoes.md,Info 862 STJ.html | Info 862 STJ.html | Info 862 STJ.html
Info 863 STJ,STJ,1,1,2,12,13,26,,,OK,Info 863 STJ.pdf,Info 863 STJ_questoes.md,Info 863 STJ.html | Info 863 STJ.html
Info 864 STJ,STJ,1,1,3,18,18,36,,,OK,Info 864 STJ.pdf,Info 864 STJ_questoes.md,Info 864 STJ.html | Info 864 STJ.html | Info 864 STJ.html
Info 865 STJ,STJ,1,1,3,13,13,26,,,OK,Info 865 STJ.pdf,Info 865 STJ_questoes.md,Info 865 STJ.html | Info 865 STJ.html | Info 865 STJ.html
Info 866 STJ,STJ,1,1,3,8,8,16,,,OK,Info 866 STJ.pdf,Info 866 STJ_questoes.md,Info 866 STJ.html | Info 866 STJ.html | Info 866 STJ.html
Info 867 STJ,STJ,1,1,3,13,13,26,,,OK,Info 867 STJ.pdf,Info 867 STJ_questoes.md,Info 867 STJ.html | Info 867 STJ.html | Info 867 STJ.html
Info 868 STJ,STJ,1,1,3,11,11,22,,,OK,Info 868 STJ.pdf,Info 868 STJ_questoes.md,Info 868 STJ.html | Info 868 STJ.html | Info 868 STJ.html
Info 869 STJ,STJ,1,1,3,9,8,16,1,,QUESTOES_INCOMPLETAS,Info 869 STJ.pdf,Info 869 STJ_questoes.md,Info 869 STJ.html | Info 869 STJ.html | Info 869 STJ.html
Info 870 STJ,STJ,1,1,3,21,20,40,1,,QUESTOES_INCOMPLETAS,Info 870 STJ.pdf,Info 870 STJ_questoes.md,Info 870 STJ.html | Info 870 STJ.html | Info 870 STJ.html
Info 871 STJ,STJ,1,1,3,13,12,24,1,,QUESTOES_INCOMPLETAS,Info 871 STJ.pdf,Info 871 STJ_questoes.md,Info 871 STJ.html | Info 871 STJ.html | Info 871 STJ.html
Info 872 STJ,STJ,1,1,3,17,16,32,1,,QUESTOES_INCOMPLETAS,Info 872 STJ.pdf,Info 872 STJ_questoes.md,Info 872 STJ.html | Info 872 STJ.html | Info 872 STJ.html
Info 873 STJ,STJ,1,1,3,12,12,24,,,OK,Info 873 STJ.pdf,Info 873 STJ_questoes.md,Info 873 STJ.html | Info 873 STJ.html | Info 873 STJ.html
Info 874 STJ,STJ,1,1,3,12,12,24,,,OK,Info 874 STJ.pdf,Info 874 STJ_questoes.md,Info 874 STJ.html | Info 874 STJ.html | Info 874 STJ.html
Info 875 STJ,STJ,1,1,3,25,24,48,1,,QUESTOES_INCOMPLETAS,Info 875 STJ.pdf,Info 875 STJ_questoes.md,Info 875 STJ.html | Info 875 STJ.html | Info 875 STJ.html
Info 876 STJ,STJ,1,1,3,12,13,26,,,OK,Info 876 STJ.pdf,Info 876 STJ_questoes.md,Info 876 STJ.html | Info 876 STJ.html | Info 876 STJ.html
Info 878 STJ,STJ,1,1,3,12,13,26,,,OK,Info 878 STJ.pdf,Info 878 STJ_questoes.md,Info 878 STJ.html | Info 878 STJ.html | Info 878 STJ.html
Info 879 STJ,STJ,1,1,3,13,13,26,,,OK,Info 879 STJ.pdf,Info 879 STJ_questoes.md,Info 879 STJ.html | Info 879 STJ.html | Info 879 STJ.html
Info 880 STJ,STJ,1,1,3,13,13,26,,,OK,Info 880 STJ.pdf,Info 880 STJ_questoes.md,Info 880 STJ.html | Info 880 STJ.html | Info 880 STJ.html
Info 881 STJ,STJ,1,1,3,15,16,32,,,OK,Info 881 STJ.pdf,Info 881 STJ_questoes.md,Info 881 STJ.html | Info 881 STJ.html | Info 881 STJ.html
Info 882 STJ,STJ,1,1,3,10,10,20,,,OK,Info 882 STJ.pdf,Info 882 STJ_questoes.md,Info 882 STJ.html | Info 882 STJ.html | Info 882 STJ.html
Info 883 STJ,STJ,1,1,3,15,15,30,,,OK,Info 883 STJ.pdf,Info 883 STJ_questoes.md,Info 883 STJ.html | Info 883 STJ.html | Info 883 STJ.html
Info 884 STJ,STJ,1,1,3,16,15,30,1,,QUESTOES_INCOMPLETAS,Info 884 STJ.pdf,Info 884 STJ_questoes.md,Info 884 STJ.html | Info 884 STJ.html | Info 884 STJ.html
